,time,T,density,Y_CH4,Y_O2,Y_CO2,Y_CO,Y_H2O,Y_H2,Y_H,Y_O,Y_OH,Y_H2O2,Y_HO2,Y_CH3,Y_CH3O2H,Y_CH3O2,Y_CH3O,Y_CH2OH,Y_CH2O,Y_HCO,Y_C2H6,Y_C2H5,Y_C2H4,Y_C2H3,Y_N2
375,3.125853198323244,782.1768814705139,10.562948570605965,0.02458943757850726,0.22241801426461968,2.0094548427212942e-05,0.0015333924813842336,0.0023110688738573427,3.0986314002780714e-07,7.430126492477438e-13,1.5936647734479974e-12,9.718873495798343e-10,0.0008095911505843438,7.662015879431093e-06,4.039570999819237e-09,1.9658110009729093e-05,5.969341029328856e-06,3.206930926495295e-09,3.2556811234215094e-13,0.0012577744439723555,2.3195572119441557e-11,4.663083259803004e-08,2.3105464080127873e-14,6.6556758595568695e-09,2.7260859403891788e-17,0.7470269657978105
376,3.128571083716486,782.6309697579535,10.556724235498068,0.024569973263581645,0.22235931602098022,2.0686758182371267e-05,0.0015594589526227221,0.0023446688887957725,3.17225331217456e-07,7.654021658768531e-13,1.6405310547794418e-12,9.939125054990197e-10,0.0008192282200885829,7.763455648777796e-06,4.13391435379146e-09,1.980209010200278e-05,6.031874794530205e-06,3.270136151435032e-09,3.3456973337369257e-13,0.0012657245398070083,2.3831782184756523e-11,4.764341534288011e-08,2.4154404283815842e-14,6.844282085260206e-09,2.8730665986962094e-17,0.7470269657978083
377,3.1312889691097285,783.0965736394513,10.550349056168496,0.02455004716500901,0.22229919625467334,2.130271638479818e-05,0.0015862230170088588,0.002379146329532163,3.2486538153174314e-07,7.889205462125317e-13,1.6898098361414273e-12,1.0168585428043785e-09,0.0008290448495802975,7.867982798559172e-06,4.232746412638776e-09,1.9947790864188287e-05,6.0965153838181224e-06,3.3357127249222135e-09,3.4397450395234593e-13,0.0012737723579774587,2.4496484311278994e-11,4.8703391329865505e-08,2.5275022290909698e-14,7.04154694476307e-09,3.0308184119519526e-17,0.7470269657978057
378,3.134006854502971,783.57420132976,10.543816606726118,0.02452963927506411,0.22223759375595661,2.1943750550128477e-05,0.0016137153993465239,0.0024145406092575773,3.3279907779109214e-07,8.136491273935799e-13,1.7416787859384718e-12,1.0407838506354244e-09,0.000839046960286384,7.97575756885433e-06,4.336381035105969e-09,2.0095247546647246e-05,6.163377304307856e-06,3.403799153051506e-09,3.538090005294205e-13,0.0012819213988831417,2.5191556807215192e-11,4.9814194566377515e-08,2.6473971496234863e-14,7.248069987724027e-09,3.200371371239775e-17,0.747026965797802
379,3.1367247398962133,784.0643944218134,10.537120050053112,0.0245087282827594,0.22217444335270797,2.2611288278522958e-05,0.0016419688314691025,0.0024508937577721467,3.4104344157706627e-07,8.396769243390539e-13,1.796332684334276e-12,1.0657518129237935e-09,0.0008492407801225553,8.086951975083089e-06,4.445161189376583e-09,2.0244495704091762e-05,6.232583674663678e-06,3.4745449969717036e-09,3.641021449181054e-13,0.0012901753757916443,2.5919043578254956e-11,5.09795911139324e-08,2.7758689065317578e-14,7.464507171950275e-09,3.3828786847649886e-17,0.7470269657977998
380,3.1394426252894556,784.5677308268387,10.530252102326612,0.024487291459735067,0.22210967556503972,2.3306866962062626e-05,0.0016710182283979716,0.002488250653828135,3.4961685369482943e-07,8.671015333481726e-13,1.853985475014126e-12,1.091831350843122e-09,0.0008596328654122491,8.201750936253306e-06,4.559462341458814e-09,2.0395571077832166e-05,6.304267063821292e-06,3.548112002971637e-09,3.748854656769723e-13,0.0012985382323840655,2.6681172556569687e-11,5.2203719373964446e-08,2.913750836900991e-14,7.69157760127954e-09,3.579634628330956e-17,0.7470269657978
381,3.142160510682698,785.0848280413443,10.523204993665916,0.0244653045335351,0.22204321622187254,2.4032144653052197e-05,0.001700900884011007,0.002526659283446943,3.5853919407128255e-07,8.9603016336276e-13,1.914872611795978e-12,1.119097537042879e-09,0.0008702301245432901,8.3203535401056e-06,4.67969632087328e-09,2.0548509447191674e-05,6.37857043044665e-06,3.624675372923289e-09,3.861933948859792e-13,0.001307014162140176,2.7480376623327633e-11,5.349113626589854e-08,3.0619790475465854e-14,7.930071240747931e-09,3.79209544664632e-17,0.7470269657978014
382,3.1448783960759403,785.6163467854004,10.515970424386726,0.024442741546560415,0.22197498603433266,2.478891226096761e-05,0.0017316566888696172,0.0025661710277630227,3.6783199939426925e-07,9.265808171114838e-13,1.979253752412166e-12,1.1476322930748135e-09,0.0008810398437719923,8.44297445995762e-06,4.806315742735602e-09,2.070334644768842e-05,6.455648177206301e-06,3.7044251981160055e-09,3.9806360607505977e-13,0.0013156076297983418,2.8319317423379286e-11,5.484687031839375e-08,3.221607852653177e-14,8.180857777683962e-09,4.021903919114312e-17,0.747026965797802
383,3.146877162452356,786.0168448714287,10.510525268897775,0.024425764753119465,0.22192362954601577,2.536666399526818e-05,0.0017548568053143345,0.0025959642748556565,3.7491596525165354e-07,9.50158408105908e-13,2.028995847695856e-12,1.1694783975163587e-09,0.0008891294788022859,8.535849752138521e-06,4.903796011463947e-09,2.0818447584986357e-05,6.514199151522664e-06,3.765227066984832e-09,4.0717578786262427e-13,0.0013220051323676186,2.8963328509384472e-11,5.5890701215028076e-08,3.346962723370475e-14,8.373688099525459e-09,4.203049739046447e-17,0.7470269657978017
384,3.1488759288287715,786.4258236503185,10.504970193653147,0.024408449670397563,0.22187123370331396,2.5963316656147672e-05,0.0017785702482490092,0.0026264071369021904,3.822228755683271e-07,9.74739765849119e-13,2.080906777989529e-12,1.1920973737273808e-09,0.0008973413787547523,8.631121949098878e-06,5.005214051885231e-09,2.0934608474008964e-05,6.574411833246249e-06,3.82795203924906e-09,4.1663213037309044e-13,0.001328470773398203,2.9631660362588535e-11,5.697689175746269e-08,3.479651039983969e-14,8.574099811557276e-09,4.395401075905253e-17,0.7470269657978025
